Facility_Name,Address,Suite_Number,Address_2,City,ZIP_Code,County,Phone_Number,Website,Clinic_ID,Longitude,Latitude,x,y
Colonial Pharmacy,708 Ekastown Rd,,PO Box 123,Sarver,16055,Butler,724-353-1420,https://www.colonialpharmacy.net/,19046,-79.777838,40.712234,-8880828.30274827,4969988.455780275
Community Health Net,1202 State Street,,Administration,Erie,16501,Erie,814-454-4530,https://www.community-healthnet.com/resources/covid-19-vaccination/,218,-80.081329,42.123441,-8914612.76632861,5179488.279761919
Community Pharmacy,1256 Pennsylvania Ave,,,Tyrone,16686,Blair,814-684-0230,https://www.cptyrone.com/,1366,-78.236995,40.673364,-8709302.44459589,4964281.655637932
Conemaugh Miners Medical Center,290 Haida Ave,,,Hastings,16646,Cambria,814-247-3101,https://www.conemaugh.org/health-information/covid-19-information/covid-19-vaccine-information#,1092,-78.705748,40.658976,-8761483.78986371,4962170.087762021
Cornerstone Coordinated Health Care LLC,40 West Frack Street,,,Frackville,17931,Schuylkill,570-794-6123,https://cornerstonerhc.com/,21396,-76.231969,40.78475,-8486103.971248616,4980643.993768962
DeBalkos Standard Drug,322 S. Hancock Street,,,Mcadoo,18237,Schuylkill,570-929-1130,https://www.mygnp.com/,600,-75.995779,40.898656,-8459811.420718152,4997404.919496213
Delta Medix PC,300 Lackawanna Avenue,200,,Scranton,18503,Lackawanna,570-800-7517,https://www.deltamedix.com/,1521,-75.667653,41.40834,-8423284.60148212,5072759.580297058
Dingmans Medical,1592 Route 739,,,Dingmans Ferry,18328,Pike,570-828-8000,https://dingmansmedical.com/,651,-74.922682,41.274377,-8340354.809106362,5052896.834599425
EASTON HOSPITAL,PHARMACY DEPT,,250 SOUTH 21ST STREET,Easton,18042,Northampton,1-866-785-8537,https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine,14751,-75.242807,40.686516,-8375990.96109656,4966212.22810413
ELFHCC-East Liberty Family Health Care Center,6023 Harvard Street,,,Pittsburgh,15206,Allegheny,412-661-1444,https://www.ELFHCC.com,668,-79.923252,40.462871,-8897015.715182485,4933435.185934035
EMHS Physician Office,100 Hospital Drive,,,Montrose,18801,Susquehanna,570-278-3801,https://www.endlesscare.org,257,-75.837323,41.836943,-8442172.179485014,5136585.504040313
East End Family Health Center,117 N Negley Avenue,,,Pittsburgh,15206,Allegheny,412-404-4000,http://pchspitt.org/location/,21074,-79.930452,40.464065,-8897817.215516197,4933609.886243208
Elizabeth A Gernhardt DO Family Practice,1732 Wyoming Avenue,XX,,Forty Fort,18704,Luzerne,570-331-9134,,21855,-75.863716,41.29669,-8445110.23480552,5056202.357870931
Erie County Health Department,606 West 2nd Street,,,Erie,16507,Erie,814-451-6700,https://eriecountypa.gov/covid-19/covid-19-vaccine/,67,-80.101529,42.128349,-8916861.420042636,5180224.9335637875
Evangelical Community Hospital,1 Hospital Drive,,,Lewisburg,17837,Union,570-522-4530,https://www.evanhospital.com/virus/,271,-76.9037688,40.9602193,-8560888.382899638,5006475.78920231
Exeter Township Health Center,2795 Sullivans Trail,,,Falls,18615,Wyoming,570-704-4117,,21715,-75.857415,41.445364,-8444408.810694033,5078256.362353654
FPC -Mt Pleasant Mills Family Practice Center,9627 Route 35,10,,Mount Pleasant Mills,17853,Snyder,570-539-2561,https://www.fpcdoctors.com/locations/mt-pleasant-mills/,17933,-77.022151,40.72174,-8574066.629122626,4971384.610791403
FPC-Elysburg Family Practice Center,289 South Market Street,,,Elysburg,17824,Northumberland,570-672-9885,https://www.fpcdoctors.com/locations/elysburg/,17919,-76.547862,40.860354,-8521269.019153774,4991765.679818643
FPC-Herndon Family Practice Center,1244 State Route 225,,,Herndon,17830,Northumberland,570-758-3511,https://www.fpcdoctors.com/herndon/,17923,-76.830153,40.665398,-8552693.5095293,4963112.5174984075
FPC-Hughesville Family Practice Center,246 South Main Street,,,Hughesville,17737,Lycoming,,,488,-76.728156,41.237445,-8541339.255426858,5047428.085016323
FPC-Lewisburg Family Practice Center,131 JPM Road,A,Suite A,Lewisburg,17837,Union,570-523-6115,https://www.fpcdoctors.com/lewisburg/,17925,-76.891618,40.976893,-8559535.762030909,5008933.983823157
FPC-Mifflinburg Family Practice Center,137 Forest Hill Rd,,,Mifflinburg,17844,Union,570-966-1004,https://www.fpcdoctors.com/locations/mifflinburg/,17928,-77.039466,40.9251,-8575994.126105713,5001300.200244505
FPC-Mifflintown Family Practice Center,2813 Industrial Park Road,Suite C,,Mifflintown,17059,Juniata,717-436-8283,,17929,-77.368437,40.583402,-8612615.010311466,4951086.396481615
FPC-Mill Hall Family Practice Center,7133 Nittany Valley Drive,,,Mill Hall,17751,Clinton,570-726-7992,https://www.fpcdoctors.com/mill-hall/,17930,-77.489567,41.064673,-8626099.140231255,5021885.601696223
FPC-Millersburg Family Practice Center,100 South First St,,,Millersburg,17061,Dauphin,717-692-4834,https://www.fpcdoctors.com/millersburg/,17931,-76.908962,40.554697,-8561466.487279227,4946879.800351993
FPC-Pagana Defazio Family Practice Center,1072 MARKET ST,,,Sunbury,17801,Northumberland,570-286-8521,https://www.fpcdoctors.com/sunbury-pagana-defazio/,10041,-76.783898,40.859111,-8547544.426482657,4991582.726401802
FPC-Selinsgrove 1 Family Practice Center,21 Susquehanna Valley Mall Drive,A,,Selinsgrove,17870,Snyder,570-374-7852,https://www.fpcdoctors.com/locations/selinsgrove/,17935,-76.848969,40.829295,-8554788.097068066,4987195.227752931
FPC-Selinsgrove 2 Family Practice Center,21 Susquehanna Valley Mall Drive,D,,Selinsgrove,17870,Snyder,570-374-7852,https://www.fpcdoctors.com/selinsgrove-pagana/,17936,-76.848969,40.829295,-8554788.097068066,4987195.227752931
FPC-Shamokin Dam Family Practice Center,3057 N Susquehanna Trail,,PO Box 310,Shamokin Dam,17876,Snyder,570-743-1112,https://www.fpcdoctors.com/locations/shamokin-dam/,17937,-76.821799,40.846937,-8551763.546503212,4989791.053537977
FPC-Sunbury Family Practice Center,409 N 4th Street,,,Sunbury,17801,Northumberland,570-286-1482,https://www.fpcdoctors.com/sunbury/,17941,-76.788644,40.865977,-8548072.748785961,4992593.355109548
FPC-Valley View Family Practice Center,105 W Main Street,,,Valley View,17983,Schuylkill,570-682-8026,,17942,-76.540262,40.645753,-8520422.991023747,4960229.895643479
FPC-Watsontown Family Practice Center,12560 State Route 405,,,Watsontown,17777,Northumberland,570-538-2501,https://www.fpcdoctors.com/watsontown/,435,-76.876917,41.099997,-8557899.254196757,5027102.405950227
Family Halth Clinic of Bk-Susquehanna,2872 Turnpike Street,,,Susquehanna,18847,Susquehanna,570-853-3135,,632,-75.593922,41.947349,-8415076.90410644,5153095.839526434
Family Health Care Center of Punxsutawney,83 Hillcrest Drive,200,,Punxsutawney,15767,Jefferson,814-938-3550,,9534,-79.000075,40.960224,-8794248.12163042,5006476.482033271
Family Matters Direct Primary Care,4284 William Flinn Highway,102,,Allison Park,15101,Allegheny,412-685-3373,https://www.familymattersdpc.com/resources/vax,1263,-79.954654,40.5756,-8900511.369832374,4949942.867854421
Family Pharmacy of  Jessup,128 Constitution Ave,,,Jessup,18434,Lackawanna,570-383-7311,https://www.mygnp.com/pharmacies/family-pharmacy-of-jessup-jessup-pa-18434-1224/,1099,-75.573794,41.476318,-8412836.265395755,5082854.367330168
Family Pharmacy of Archbald,1 KENNEDY PLAZA,1,4 KELLY STREET,Archbald,18403,Lackawanna,570-876-3312,https://www.mygnp.com/pharmacies/family-pharmacy-of-archbald-archbald-pa-18403-1627/,1100,-75.554671,41.491204,-8410707.502773315,5085066.362718328
Family Pharmacy of Carbondale,70 N Church St,,,Carbondale,18407,Lackawanna,570-281-6300,https://www.mygnp.com/pharmacies/family-pharmacy-of-carbondale-inc-carbondale-pa-18407/,1101,-75.498901,41.57483,-8404499.214771774,5097502.286044749
Family Pharmacy of Olyphant,110 Delaware Ave,,,Olyphant,18447,Lackawanna,570-487-4447,https://www.mygnp.com/pharmacies/family-pharmacy-of-olyphant-olyphant-pa-18447/,1102,-75.603365,41.469288,-8416128.094058001,5081809.916268357
Family Practice Center Williamsport,1205 River Avenue,,1st Floor,Williamsport,17701,Lycoming,570-323-5991,https://www.fpcdoctors.com/williamsport-cornerstone/,21034,-76.981495,41.252686,-8569540.823904933,5049684.539421214
GEISINGER WYOMING VALLEY,1000 EAST MOUNTAIN BLVD,,,WILKES BARRE,18711,Luzerne,570-284-3657,https://www.geisinger.org/covidvax,7736,-75.8218682,41.2579465,-8440451.7590187,5050463.48705484
GEISINGER-LEWISTOWN HOSPITAL,400 Highland Ave,,Pharmacy Dept. 6th floor,Lewistown,17044,Mifflin,570-284-3657,https://www.geisinger.org/covidvax,9650,-77.567472,40.617902,-8634771.485161506,4956144.614798965
GHS GEISINGER MEDICAL CENTER,100 N ACADEMY AVENUE,,,Danville,17822,Montour,570-284-3657,https://www.geisinger.org/covidvax,7674,-76.605353,40.966897,-8527668.88799897,5007460.204352507
GHS-BRADFORD,116 INSTERSTATE PARKWAY,Suite 21,,BRADFORD,16701,Mc Kean,814-368-4143,https://www.brmc.com/,7667,-78.6711874,41.9511791,-8757636.521470198,5153669.113076219
GIANT PHARMACY-6455,3560 ROUTE 611,SUITE 105,,BARTONSVILLE,18321,Monroe,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine,16706,-75.273288,41.002192,-8379384.09049543,5012664.988723605
Geisinger St. Lukes Hospital,100 Paramount Blvd,,,Orwigsburg,17961,Schuylkill,866-785-8537,https://geisingerstlukes.org/covid-19/covid-19-vaccine,1103,-76.088038,40.65259,-8470081.645619249,4961233.030993419
Giant Eagle Pharmacy #0023,100 Buffalo Plaza,,,Sarver,16055,Butler,,https://www.gianteagle.com/covidvaccine,1121,-79.725839,40.706397,-8875039.80054651,4969131.268964137
Giant Eagle Pharmacy #2445,419 South Main Street,,,Greenville,16125,Mercer,,https://www.gianteagle.com/covidvaccine,1170,-80.370939,41.409997,-8946852.004057253,5073005.520441563
Giant Eagle Pharmacy #2455,3220 Leechburg Road,,,New Kensington,15068,Westmoreland,,https://www.gianteagle.com/covidvaccine,1273,-79.709443,40.585272,-8873214.606175464,4951360.499677484
Giant Eagle Pharmacy- 95,18511 Smock Highway,,,Meadville,16335,Crawford,,https://www.gianteagle.com/covidvaccine,16230,-80.167041,41.620104,-8924154.182523485,5104241.646871732
Giant Eagle Pharmacy-1481,541 Allegheny Blvd.,,,Franklin,16323,Venango,,https://www.gianteagle.com/covidvaccine,16229,-79.80862,41.402269,-8884254.93931387,5071858.54600305
Giant Eagle Pharmacy-15,1701 Lincoln Highway,,,North Versailles,15137,Allegheny,,https://www.gianteagle.com/covidvaccine,16248,-79.786217,40.370531,-8881761.048761627,4919933.835444078
Giant Eagle Pharmacy-17,6320 Shakespeare St.,,,Pittsburgh,15206,Allegheny,,https://www.gianteagle.com/covidvaccine,16231,-79.921415,40.458867,-8896811.221277896,4932849.362671951
Giant Eagle Pharmacy-18,1671 Butler Plank Road,,,Glenshaw,15116,Allegheny,,https://www.gianteagle.com/covidvaccine,16314,-79.963694,40.537471,-8901517.698029146,4944356.2688811105
Giant Eagle Pharmacy-2,1800 McKees Rocks Road,rr,rrrrr,Mc Kees Rocks,15136,Allegheny,,https://www.gianteagle.com/covidvaccine,16232,-80.097088,40.469379,-8916367.050184023,4934387.4427088965
Giant Eagle Pharmacy-2404,200 Allegheny River Blvd.,,,Verona,15147,Allegheny,,https://www.gianteagle.com/covidvaccine,16235,-79.844001,40.498134,-8888193.534217626,4938596.006860285
Giant Eagle Pharmacy-2409,1705 S. Braddock Ave.,,,Pittsburgh,15218,Allegheny,1-412-371-4456,https://www.gianteagle.com/covidvaccine,16239,-79.888323,40.425201,-8893127.436688565,4927925.0870549325
Giant Eagle Pharmacy-2415,1521 N. Main St.,,,Butler,16001,Butler,,https://www.gianteagle.com/covidvaccine,16244,-79.9085142,40.8668263,-8895375.11079107,4992718.373600413
Giant Eagle Pharmacy-2435,1117 Milltown Road,,,Verona,15147,Allegheny,,https://www.gianteagle.com/covidvaccine,17868,-79.789959,40.49831,-8882177.606296176,4938621.771664903
Giant Eagle Pharmacy-2440,700 Moraine Point Plaza,,,Butler,16001,Butler,,https://www.gianteagle.com/covidvaccine,16249,-79.9085142,40.8668263,-8895375.11079107,4992718.373600413
Giant Eagle Pharmacy-2491,400 Northtowne Square,,,Gibsonia,15044,Allegheny,1-724-443-7979,https://www.gianteagle.com/covidvaccine,16253,-79.940572,40.635717,-8898943.768763022,4958757.584118489
Giant Eagle Pharmacy-2492,51 Walsh Road,,,Pittsburgh,15205,Allegheny,,https://www.gianteagle.com/covidvaccine,16254,-80.071037,40.439692,-8913467.066129368,4930044.361725715
Giant Eagle Pharmacy-25,1029 West View Park Drive,,,Pittsburgh,15229,Allegheny,,https://www.gianteagle.com/covidvaccine,16256,-80.037028,40.516496,-8909681.201566981,4941284.401652541
Giant Eagle Pharmacy-32,4810 Old William Penn Highway,,,Export,15632,Westmoreland,,https://www.gianteagle.com/covidvaccine,16259,-79.663104,40.423951,-8868056.172291595,4927742.298887965
Giant Eagle Pharmacy-37,5 Quaker Village S.C.,,,Leetsdale,15056,Allegheny,,https://www.gianteagle.com/covidvaccine,16261,-80.2105248,40.5661982,-8928994.776997242,4948565.035848822
Giant Eagle Pharmacy-4008,223 Grove City Rd.,,,Slippery Rock,16057,Butler,,https://www.gianteagle.com/covidvaccine,16266,-80.051916,41.070462,-8911338.526145909,5022740.354701329
Giant Eagle Pharmacy-4012,2357 E. State Street,,,Hermitage,16148,Mercer,,https://www.gianteagle.com/covidvaccine,16268,-80.466535,41.233492,-8957493.702099126,5046842.922986576
Giant Eagle Pharmacy-4035,606 Erie St.,,,Edinboro,16412,Erie,,https://www.gianteagle.com/covidvaccine,16270,-80.127804,41.886668,-8919786.339663228,5144017.9488771055
Giant Eagle Pharmacy-4038,4265 Buffalo Rd,,,Erie,16510,Erie,,https://www.gianteagle.com/covidvaccine,16269,-80.004773,42.145237,-8906090.591391442,5182760.131230437
Giant Eagle Pharmacy-4050,9125 Ridge Road,,,Girard,16417,Erie,,https://www.gianteagle.com/covidvaccine,16271,-80.301825,42.009974,-8939158.268770564,5162473.617988604
Giant Eagle Pharmacy-4077,3230 Wilmington Road,,,New Castle,16105,Lawrence,,https://www.gianteagle.com/covidvaccine,16272,-80.357161,41.053426,-8945318.244113103,5020225.183316577
Giant Eagle Pharmacy-4093,2501 West 12th St.,,,Erie,16505,Erie,,https://www.gianteagle.com/covidvaccine,16227,-80.136586,42.103045,-8920763.947431376,5176427.605036188
Giant Eagle Pharmacy-41,41 Towne Center Drive,,,Leechburg,15656,Armstrong,,https://www.gianteagle.com/covidvaccine,16274,-79.611087,40.608295,-8862265.666339,4954735.821971442
Giant Eagle Pharmacy-42,206 Seven Fields Blvd,,,Seven Fields,16046,Butler,,https://www.gianteagle.com/covidvaccine,16275,-80.057455,40.689224,-8911955.124805413,4966609.780740227
Giant Eagle Pharmacy-4237,2067 Interchange Rd,,,Erie,16509,Erie,,https://www.gianteagle.com/covidvaccine,16273,-80.100836,42.064491,-8916784.275635516,5170644.783753925
Giant Eagle Pharmacy-43,155 Towne Centre Drive,,,Wexford,15090,Allegheny,724-934-0201,https://www.gianteagle.com/covidvaccine,16276,-80.054427,40.631601,-8911618.049387291,4958153.818480215
Giant Eagle Pharmacy-45,9805 McKnight Road,,,Pittsburgh,15237,Allegheny,,,16277,-80.037468,40.585762,-8909730.182142928,4951432.3247767165
Giant Eagle Pharmacy-47,100 Settlers Ridge Center Dr,,,Pittsburgh,15205,Allegheny,,https://www.gianteagle.com/covidvaccine,16316,-80.152732,40.441906,-8922561.311929723,4930368.194243471
Giant Eagle Pharmacy-470,881 Hills Plaza,,,Ebensburg,15931,Cambria,,https://www.gianteagle.com/covidvaccine,16322,-78.758999,40.469103,-8767411.664067943,4934347.056251667
Giant Eagle Pharmacy-471,475 Ben Franklin Road S,,,Indiana,15701,Indiana,,https://www.gianteagle.com/covidvaccine,16323,-79.191387,40.614027,-8815544.876053065,4955576.351411118
Giant Eagle Pharmacy-482,7 Cottonwood Street,,,Northern Cambria,15714,Cambria,,https://www.gianteagle.com/covidvaccine,16281,-78.783121,40.661349,-8770096.912824858,4962518.315399423
Giant Eagle Pharmacy-483,"Cranberry Mall, Route 19",,,Cranberry Twp,16066,Butler,,https://www.gianteagle.com/covidvaccine,16282,-80.115075,40.7011099,-8918369.353864923,4968354.90200768
Giant Eagle Pharmacy-495,289 State Route 288,,,Ellwood City,16117,Lawrence,,https://www.gianteagle.com/covidvaccine,16287,-80.258556,40.846442,-8934341.585723432,4989718.2103243405
Giant Eagle Pharmacy-5103,2611 Freeport Rd.,,,Pittsburgh,15238,Allegheny,,https://www.gianteagle.com/covidvaccine,16288,-79.838606,40.537244,-8887592.965564797,4944323.01873498
Giant Eagle Pharmacy-52,132 Ben Avon Heights Road,,,Pittsburgh,15237,Allegheny,,https://www.gianteagle.com/covidvaccine,16289,-80.070186,40.522822,-8913372.333242703,4942210.766777808
Giant Eagle Pharmacy-60,4010 Monroeville Boulevard,,,Monroeville,15146,Allegheny,,https://www.gianteagle.com/covidvaccine,16292,-79.772119,40.435903,-8880191.666580424,4929490.1852891175
Giant Eagle Pharmacy-61,2021 Wharton Ave.,,,Pittsburgh,15203,Allegheny,,https://www.gianteagle.com/covidvaccine,16293,-79.977105,40.4267627,-8903010.603720173,4928153.460052407
Giant Eagle Pharmacy-62,111 West Madison Street,,,Rochester,15074,Beaver,724-775-1820,https://www.gianteagle.com/covidvaccine,16294,-80.288504,40.70235,-8937675.381833708,4968536.99491555
Giant Eagle Pharmacy-63,Murray Ave. & Loretta St.,,,Pittsburgh,15217,Allegheny,,https://www.gianteagle.com/covidvaccine,16295,-79.92887,40.42193,-8897641.10808176,4927446.774165063
Giant Eagle Pharmacy-6379,420 E. Waterfront Drive,,,Homestead,15120,Allegheny,1-412-462-5359,https://www.gianteagle.com/covidvaccine,16297,-79.902539,40.4000594,-8894709.954569682,4924249.270131064
Giant Eagle Pharmacy-6386,1700 New Butler Rd.,,,New Castle,16101,Lawrence,,https://www.gianteagle.com/covidvaccine,16298,-80.311466,40.985448,-8940231.499981303,5010195.484056374
Giant Eagle Pharmacy-65,4110 Brighton Rd.,,,Pittsburgh,15212,Allegheny,412-761-1133,https://www.gianteagle.com/covidvaccine,16300,-80.04368,40.489769,-8910421.698819734,4937371.524623709
Giant Eagle Pharmacy-66,2650 Constitution Blvd.,,,Beaver Falls,15010,Beaver,724-843-3922,https://www.gianteagle.com/covidvaccine,16301,-80.379393,40.7757,-8947793.099032417,4979313.547284079
Giant Eagle Pharmacy-67,8080 McIntyre Square Drive,,,Pittsburgh,15237,Allegheny,,https://www.gianteagle.com/covidvaccine,16302,-80.018394,40.55701,-8907606.874175537,4947218.693876951
Giant Eagle Pharmacy-68,5990 University Blvd.,Suite 4,,Moon Township,15108,Allegheny,1-412-269-0254,https://www.gianteagle.com/covidvaccine,16283,-80.217714,40.520301,-8929795.075080452,4941841.586765523
Giant Eagle Pharmacy-69,9001 Frankstown Road,,,Pittsburgh,15235,Allegheny,412-371-0858,https://www.gianteagle.com/covidvaccine,16240,-79.86468,40.461505,-8890495.50996774,4933235.323224646
Giant Eagle Pharmacy-70,5550 Centre Ave,,,Pittsburgh,15232,Allegheny,724-941-7220,https://www.gianteagle.com/covidvaccine,16303,-79.934696,40.456996,-8898289.655435123,4932575.629555578
Giant Eagle Pharmacy-71,181 Sophira Lane,,,Altoona,16602,Blair,,https://www.gianteagle.com/covidvaccine,16285,-78.38731,40.485138,-8726035.433854481,4936693.696988398
Giant Eagle Pharmacy-72,910 Freeport Rd.- Waterworks,,,Pittsburgh,15238,Allegheny,412-781-6605,https://www.gianteagle.com/covidvaccine,16304,-79.891718,40.486677,-8893505.36635981,4936918.951296583
Giant Eagle Pharmacy-74,1165 McKinney Lane,,,Pittsburgh,15220,Allegheny,,https://www.gianteagle.com/covidvaccine,16306,-80.035517,40.423528,-8909512.997816391,4927680.444141491
Giant Eagle Pharmacy-75,1600 State St.,,,Baden,15005,Beaver,724-869-8420,https://www.gianteagle.com/covidvaccine,16252,-80.199279,40.63871,-8927742.90026768,4959196.643099232
Giant Eagle Pharmacy-77,254 Yost Blvd.,,,Pittsburgh,15221,Allegheny,,https://www.gianteagle.com/covidvaccine,16307,-79.854621,40.41342,-8889375.74720985,4926202.479972176
Giant Eagle Pharmacy-78,230 Rodi Rd.,,,Penn Hills,15235,Allegheny,412-241-7744,https://www.gianteagle.com/covidvaccine,16308,-79.8242,40.462905,-8885989.296980428,4933440.160606752
Giant Eagle Pharmacy-8,200 Tarentum Bridge Road,,,New Kensington,15068,Westmoreland,724-339-4940,https://www.gianteagle.com/covidvaccine,16313,-79.750922,40.590279,-8877832.02733408,4952094.459711862
Giant Eagle Pharmacy-80,40 White St,,,Brookville,15825,Jefferson,,https://www.gianteagle.com/covidvaccine,16317,-79.084019,41.159862,-8803592.72496557,5035949.94450292
Giant Eagle Pharmacy-84,100 N Main Street,,,Du Bois,15801,Clearfield,,https://www.gianteagle.com/covidvaccine,16318,-78.767483,41.123176,-8768356.098627832,5030527.107663663
Giant Eagle Pharmacy-88,110 S. Martin St,,,Titusville,16354,Crawford,,https://www.gianteagle.com/covidvaccine,16319,-79.671506,41.626105,-8868991.47865324,5105135.293943287
Giant Eagle Pharmacy-91,318 Cedar Ave,,,Pittsburgh,15212,Allegheny,,https://www.gianteagle.com/covidvaccine,16279,-80.000886,40.451031,-8905657.892530728,4931702.982399418
Giant Eagle Pharmacy-94,3113 Green Garden Rd,,,Aliquippa,15001,Beaver,724-378-8896,https://www.gianteagle.com/covidvaccine,16237,-80.280804,40.600683,-8936818.221754601,4953619.724384114
Glendale Area Medical Association Inc,850 Main Street,,PO Box 375,Coalport,16627,Clearfield,814-672-5141,https://www.glendale-medical.com/,9439,-78.534927,40.747707,-8742468.08312691,4975199.424705064
Grove City Medical Center,631 NORTH BROAD STREET EXT.,,,Grove City,16127,Mercer,,https://www.ahn.org/coronavirus/independent-health-care-workers.html,21030,-80.083247,41.170696,-8914826.277111953,5037551.980960723
