"1. Company name (For example, UPMC, Penn State Health, CVS, Sadler Health Center, etc.)","2. Name of vaccine providing entity (For example, UPMC Williamsport, Penn State Health Holy Spirit Medical Center, CVS Pharmacy Camp Hill, Sadler Health Center, etc.)",4. Provider Address,5. Point of contact for vaccine providing entity,6. Phone number for point of contact,POCemail,8. Type of Facility,"9. Link to public facing information, if applicable, on how to schedule an appointment to get vaccinated",Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,What identification requirements does your facility have for vaccine recipients?,Notes,VaccineYesNoExp,x,y
Brockie Healthcare Inc,Brockie Pharmatech,"209 N Beaver St, York Pa. 17401",Joseph Zimardo,7178549028,jzimardo@brockie.com,Pharmacy,,,,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,1a position license or ID,,No Vaccine Yet,-76.730574,39.964891
Select Specialty Hospital UPMC dba Alle Kiski ,Select Specialty Hospital UPMC dba Alle Kiski ,1301 Carlisle Street Natrona Heights PA 15065 ,"Shantel Platt, Director of Quality Management ",724-351-2103,shplatt@selectmedical.com ,Other,,,,,,,,,,,,,,,,,,Yes,-79.73692102,40.61826001
Steward Healthcare Sharon Regional Medical Center,Sharon Regional Medical Center,"740 East State Street, Sharon, PA 16146",Jodi Shrawder,724-983-7252,jodi.shrawder@steward.org,Hospital,Social media/home page. Please contact Mktg Director rochelle.penman@steward.org,,,8:00 AM,5:00 PM,11:00 AM,8:00 PM,8:00 AM,5:00 PM,11:00 AM,8:00 PM,8:00 AM,5:00 PM,,,employees show badge. Non-employees would likely need at least 2 forms/health card/Drivers license,,Yes,-80.49617502,41.23271399
Warren General Hospital,Warren General Hospital,"2 Crescent Park West, Warren PA",Ashley Whippo,(814) 723-3300 ext. 3304,peashley@wgh.org,Hospital,,,,,,,,,,,,,,,,Completed consent and work photo ID,Currently scheduling clinics with 1A providers and services. This is a coordinated process with the local EMA and governmental authorities. There is not a schedule of open vaccination clinics. Schedule changes with availability of doses. ,No Vaccine Yet,-79.15318958,41.84366745
Allied Services Integrated Health System,Allied Services Rehab Hospital,"475 Morgan Highway, Scranton, PA       18508",Dr.Michael Wolk,5703481411,,Hospital,https://www.allied-services.org/coronavirus-information/covid-19-vaccine/,,,,,,,,,,,,,,,ID Badge,clinics are scheduled when vaccine is available,Yes,-75.67782927,41.4516314
Giant Pharmacy,Giant Pharmacy 6284 Royersford ,1824 East Ridge Pike suite 104 Royersford PA 19468,Joseph Filaseta,6108315805,joseph.filaseta@giantmartins.com,Pharmacy,,,,,,,,,,,,,,,,,,No Vaccine Yet,-75.49861998,40.21088301
Windber Hospital Inc,Windber Hospital Inc,"600 Somerset Ave , Windber PA15963",Tausha Garretson,814-467-3013,vaccine@windbercare.org,Hospital,550,,,7:00 AM,5:00 PM,7:00 AM,5:00 PM,,,,,,,,,Verification from Employeer and Employee Banadge ,,Yes,-78.83853003,40.24217001
Ferri Pharmacy,Ferri Pharmacy,"3907 Old William Penn Highway  Murrysville, PA  15668",Megan Weigand,7243276611,wferrirx@aol.com ,Pharmacy,,11:00 AM,2:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM,11:00 AM,2:00 PM,Name / date of birth,,No Vaccine Yet,-79.69718724,40.42827893
Community Health & Dental Care,Community Health & Dental Care,"351 W. Schuylkill Rd. Coventry Mall Suite G-15A Pottstown, PA 19465","Careta Grant, Clinical Director",,,Federally Qualified Health Center (FQHC),https://ch-dc.org/coronavirus-covid-19/,,,,,,,,,,,,,,,Proof of Licensure and or letter on company letter head to include employees names and phone number of office signed by owner.,Outside providers to contact Careta Grant at 610-326-9460 to schedule an appointment for Covid Vaccine.,Yes,-75.661654,40.236889
Giant Pharmacy,Giant Pharmacy,"600 E Lancaster Ave Shillington, PA  19607",Edward Waibel,610-777-0027,store.6273.pharmacy@giantmartins.com,Pharmacy,,10:00 AM,3:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,6:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,4:00 PM,,,No Vaccine Yet,-75.95438898,40.307265
The Wright Center For Community Health ,Mid Valley Clinic,"5 S. Washington Ave., Jermyn Pa 18433",Sheila Ford,5702300019,twc-covid19-vaccine@thewrightcenter.org,Federally Qualified Health Center (FQHC),,,,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,Photo Copy of Company Issued ID or a letter on Company Letterhead indicating they are in Phase 1a,,No Vaccine Yet,-75.55034596,41.520433
Superior Care Pharmacy Inc dba Medicap Pharmacy,Superior Care Pharmacy Inc dba Medicap Pharmacy,"518 Burke Bypass Olyphant, Pa 18447",Eric Pusey,5703836700,rprp3@aol.com,Pharmacy,Not yet a available. To be determined when able to administer to Non Healthcare workers,,,,,,,,,,,,,,,"Driver License, Passport, School ID, Gov't issued photo ID","Only providing vaccine to NON Hospital affiliated Healthcare practices such as Medical Office, Non Chain Pharmacies, Hospice agencies, Dental offices. Appointments and scheduling is determined based on available staff to administer vaccine and spacing",Yes,-75.59670468,41.47066513
CARLISLE PHARMACY LLC,Medical arts pharmacy ,220 Wilson st suite 100 Carlisle PA 17013,Haresh Malaviya,717-906-1246,Medicalartspharmacy220@gmail.com ,Pharmacy,,,,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,,,Work ID and driver license,,No Vaccine Yet,-77.20498503,40.19824599
Barnes Kasson Hospital ,Family Health Clinic of BK,"2872 Turnpike St, Susquehanna, PA 18847","David Passetti--ask for ""Vaccine Line"" ",570-853-3135 x 224,bkadmin@bkhcs.org,Health System,,,,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,4:00 PM,,,"Prefer setup by department manager or supervisor, in order to verify status as a HCP",,Yes,-75.59291002,41.94672
Community Health Net,Community Health Net,"1202 State Street, Erie, PA  16501",Vaccine Administrator,8144544530 Ext. 270,chncovac@community-healthnet.com,Federally Qualified Health Center (FQHC),https://www.community-healthnet.com/resources/covid-19-vaccination/,,,,,,,,,,,,,,,Employment Badge/ID,We are scheduling as we receive vaccines. Pending weekly shipments received,Yes,-80.081433,42.12313002
"Henry W. Shoenthal, M.D., Inc.","Henry W. Shoenthal, M.D., Inc.",,Renee Brown,8148394108,rbrown@newparisrhc.com,Other,,,,,,,,,,,,,,,,,,No Vaccine Yet,-78.63912397,40.112492
"Keystone Rural Health Consortia, Inc.",Ridgway Medical Center,"49 Ridgmont Drive, Ridgway, PA. 15853",Gabriella Padasak,814-245-2119,kriben@keystoneruralhealth.com,Federally Qualified Health Center (FQHC),www.keystoneruralhealth.com,,,12:00 PM,6:00 PM,8:00 AM,12:00 PM,12:00 PM,4:00 PM,12:00 PM,4:00 PM,8:00 AM,12:00 PM,,,ID work badge,,Yes,-78.74750619,41.42278695
Highlands Hospital,Highlands Hospital,401 E. Murphy Ave. Connellsville PA 15425,Matt Mascia,724-603-2648,,Hospital,,,,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,"name, dob, address, phone number",,No Vaccine Yet,-79.58613,40.02295998
FULTON COUNTY MEDICAL CENTER,FULTON COUNTY MEDICAL CENTER,214 PEACH ORCHARD ROAD MCCONNELLSBURG PA 17233,JOE HAHN,717-485-3155 Option 7,jhahn@fcmcpa.org,Hospital,,,,,,,,,,,,7:00 AM,9:00 AM,,,DRIVERS LICENSE OR OTHER FORM OF IDENTITY AND HEALTHCARE BADGE/IDENTIFIER ,MADE CONTACT TO LOCAL EMA DIRECTOR AND ARE CURRENTLY VACCINATING FIRST RESPONDERS AND NON AFFILIATED PROVIDERS IF VACCINE IS AVAILABLE,Yes,-78.00680996,39.93733
"Glendale Area Medical Assoc, Inc","Glendale Area Medical Assoc, Inc","850 Main Street, PO Box 375, Coalport PA 16627",Deanna Ness,8146725141,deanna.ness@glendale-medical.com,Federally Qualified Health Center (FQHC),,,,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,,,,,drivers license and work ID,,No Vaccine Yet,-78.534679,40.74778301
Holy Redeemer Hospital and Medical Center,Holy Redeemer Hospital and Medical Center,"1648 Huntingdon Pike, Meadowbrook PA 19046",,2153449490,non-affiliatedvaccine@holyredeemer.com,Health System,NA,,,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,one (1) form of government issued ID and proof of current status as 1A healthcare provider,vaccine administration by appointment only,Yes,-75.08193204,40.10957259
the medicine shoppe,the medicine shoppe,709 ligonier st,susan schropp,,,Pharmacy,,,,10:00 AM,4:00 PM,10:00 AM,4:00 PM,10:00 AM,4:00 PM,10:00 AM,4:00 PM,10:00 AM,4:00 PM,,,insurance card,please bring red white and blue medicare card or current insurance,Yes,-79.36569994,40.27996003
"DLP Conemaugh Memorial Medical Center, LLC",Conemaugh Memorial Medical Center,"1086 Franklin Street Johnstown, PA 15905",Terri Gritzer,814-534-3859,incidentcommand@conemaugh.org,Hospital,,,,,,,,,,,,,,,,,working on Tier 1A level currently and then development of plan for Tier 1B being assessed.,Yes,-78.92016801,40.304524
Stemat Inc DBA The Hometown Pharmacy,Stemat Inc DBA The Hometown Pharmacy,20 E Lawrence St,Ronald McDermott,3303183926,ron.mcdermott@thehometownpharmacies.com,Pharmacy,https://www.thehometownpharmacies.com,9:00 AM,1:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,3:00 PM,drivers license or other state/government issued identification,,No Vaccine Yet,-80.34608003,40.99760002
Marysia Inc DBA The Hometown Pharmacy,Marysia Inc DBA The Hometown Pharmacy,"3 Northgate Plaza Unit 2, Harmony, PA 16037",Ron McDermott,3303183926,ron.mcdermott@thehometownpharmacies.com,Pharmacy,https://www.thehometownpharmacies.com,9:00 AM,1:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,3:00 PM,drivers license or other government/state issued id,,No Vaccine Yet,-80.13772549,40.80220173
Alotad Inc DBA The Hometown Pharmacy,Alotad Inc DBA The Hometown Pharmacy,"49 Pine Grove Sq, Grove City, PA 16127",Ron McDermott,3303183926,ron.mcdermott@thehometownpharmacies.com,Pharmacy,https://www.thehometownpharmacies.com,9:00 AM,1:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,3:00 PM,drivers license or other state/government issued id,,No Vaccine Yet,-80.11314702,41.16814999
Krynicki Inc DBA Dierkens Pharmacy,Krynicki Inc DBA Dierkens Pharmacy,"100 E Main St Monongahela, PA 15063",Ron McDermott,3303183926,ron.mcdermott@thehometownpharmacies.com,Pharmacy,https://www.thehometownpharmacies.com,,,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,4:00 PM,www.thehometownpharmacies.com,,No Vaccine Yet,-79.92221196,40.19962699
Kety Inc DBA The Hometown Pharmacy,Kety Inc DBA The Hometown Pharmacy,"3589 Brodhead Rd., Monaca, PA 15061",Ron McDermott,3303183926,ron.mcdermott@thehometownpharmacies.com,Pharmacy,https://www.thehometownpharmacies.com,10:00 AM,2:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,3:00 PM,drviers license or state/government issued id,,No Vaccine Yet,-80.31721996,40.65895998
Helalozy Inc DBA The Hometown Pharmacy,Helalozy Inc DBA The Hometown Pharmacy,"4969 Tuscarawas Rd., Beaver, PA 15009",Ron McDermott,3303183926,ron.mcdermott@thehometownpharmacies.com,Pharmacy,https://www.thehometownpharmacies.com,10:00 AM,2:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,3:00 PM,drivers license or other state/government issued id,,No Vaccine Yet,-80.40445642,40.70595467
Elemel Inc DBA The Hometown Pharmacy,Elemel Inc DBA The Hometown Pharmacy,"2016 W State St., New Castle, PA 16101",Ron McDermott,3303183926,ron.mcdermott@thehometownpharmacies.com,Pharmacy,https://www.thehometownpharmacies.com,10:00 AM,2:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,3:00 PM,drivers license or other state/government issued id,,No Vaccine Yet,-80.37868502,41.00696005
C & G Health Solutions LLC. d/b/a Asti's South Hills Pharmacy,Asti's South Hills Pharmacy,"250 Mt. Lebanon Blvd, Pittsburgh, PA 15234",Samantha Pitzarella,412-567-9422,admin@astisrx.com,Pharmacy,https://hipaa.jotform.com/210168283690154,,,10:00 AM,5:00 PM,,,,,12:00 PM,4:00 PM,,,,,Proof of age (if suspected to underage of vaccine requirements),,No Vaccine Yet,-80.03759646,40.36830746
UPPER ALLEGANY HEALTH SYSTEMS (UAHS),GH-BRADFORD REGIONAL MEDICAL CENTER,116 INTERSTATE PARKWAY BRADFORD PA 16701,LAURIE SCHIAFONE,814-368-4143,LSCHIAFONE@BRMC.COM,Hospital,,,,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,,,PHOTO ID AND PROF LICENSE NUMBER,"If emailing, please use in subject line : Covid Vaccine",Yes,-78.65945998,41.96139998
ACMH,Armstrong Primary Care Center -Elderton,"116 N Main Street, Elderton  Pa 15736",Sherri Bussard,7243545258,haddenc@acmh.org,Other,,,,,,,,,,9:00 AM,3:00 PM,,,,,"Name, Address, Phone number,DOB, Employer,JobTitle",,Yes,-79.34378998,40.69699002
River Valley Health and Dental,River Valley Health and Dental,"471 Hepburn Street, Williamsport, PA 17701",Emily Drick LPN,570-567-5400,covidvaccine@rvhdc.org,Federally Qualified Health Center (FQHC),https://www.rivervalleyhealthanddental.org,,,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,"Name, DOB, address, phone number",,Yes,-77.00789003,41.24259999
"Punxsutawney Area Hospital, Inc. ","Punxsutawney Area Hospital, Inc. ",81 Hillcrest Drive Punxsutawney PA 15767,Katie Donald,814-938-1827,kdonald@pah.org,Hospital,https://www.pah.org,,,,,,,,,,,,,,,"Drivers license/ other state issued form of identification, Date of Birth, Employer Information , and Job Title.",PAH will successful implemented all first round doses on 1/21/21. All second round doses will be completed on February 18th.  Facility Has Vaccine: Vaccines for Tier1a qualifying individuals can be scheduled by appointment only during our Final Vaccinatio,No Vaccine Yet,-78.99973004,40.96128001
Surgical Institute of Reading,Surgical Institute of Reading,"2752 Century Blvd., Wyomissing, PA 19610",N/A,N/A,N/A,Hospital,N/A,,,,,,,,,,,,,,,N/A,"Surgical Institute of Reading has received 300 vaccinations, to be administered to SIR employees, staff physicians and their appropriate employees, and other neighboring healthcare facilities.  Administration of 1st doses will be completed on 1/11/2021.",Yes,-75.98791299,40.35847101
Wilkes Barre General Hospital ,Wilkes Barre General Hospital,"575 North River Street, Wilkes Barre, PA 18764",Janet Panek-Harding,570-552-1795,1507_ci_human_resources@commonwealthhealth.net,Hospital,,,,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,Company Badge and / or Company Consent,,Yes,-75.86807156,41.25839367
Titusville Area Hospital ,Titusville Area Hospital,"406 W. Oak Street, Titusville, PA 16354",Holli Wolfe,"Please use the link above to register for a vaccine.  At this time, the office staff cannot register you for the vaccine.",covidvaccinetah@mmchs.org,Hospital,https://www.titusvillehospital.org/vaccine,,,,,,,,,,,,,,,Government issued photo ID and employer/organization ID,,Yes,-79.68046441,41.63337883
Einstein Healthcare network,Einstein Medical Center Montgomery,559 West Germantown Pike,Beth Duffy,4846221000,duffyb@einstein.edu,Hospital,,,,,,,,,,,,,,,,"Driver's license, Professional license (if applicable/certification, Work ID",Times and dates to be determined based upon interest,No Vaccine Yet,-75.34386499,40.15366298
